CCc1nsc(N2CCN(Cn3nc(C4CC4)sc3=S)CC2)n1
CCc1nsc(N2CCC(C(=O)N3CCC[C@@H](C)C3)CC2)n1
CCc1nsc(N2CCC(NC(=O)CCC(F)(F)F)CC2)n1
CCc1nsc(N2CCC(NC(=O)Cc3ccccc3C)CC2)n1
CCc1nsc(NC(=O)c2cccc(C)c2C)n1
CCc1nsc(NC(=O)c2ccc(Br)cc2)n1
